step,i,j
450,0,2
450,1,2
450,2,2
451,1,1
451,1,2
451,1,3
452,0,2
452,1,2
452,2,2
453,1,1
453,1,2
453,1,3
454,0,2
454,1,2
454,2,2
455,1,1
455,1,2
455,1,3
456,0,2
456,1,2
456,2,2
457,1,1
457,1,2
457,1,3
458,0,2
458,1,2
458,2,2
459,1,1
459,1,2
459,1,3
460,0,2
460,1,2
460,2,2
461,1,1
461,1,2
461,1,3
462,0,2
462,1,2
462,2,2
463,1,1
463,1,2
463,1,3
464,0,2
464,1,2
464,2,2
465,1,1
465,1,2
465,1,3
466,0,2
466,1,2
466,2,2
467,1,1
467,1,2
467,1,3
468,0,2
468,1,2
468,2,2
469,1,1
469,1,2
469,1,3
470,0,2
470,1,2
470,2,2
471,1,1
471,1,2
471,1,3
472,0,2
472,1,2
472,2,2
473,1,1
473,1,2
473,1,3
474,0,2
474,1,2
474,2,2
475,1,1
475,1,2
475,1,3
476,0,2
476,1,2
476,2,2
477,1,1
477,1,2
477,1,3
478,0,2
478,1,2
478,2,2
479,1,1
479,1,2
479,1,3
480,0,2
480,1,2
480,2,2
481,1,1
481,1,2
481,1,3
482,0,2
482,1,2
482,2,2
483,1,1
483,1,2
483,1,3
484,0,2
484,1,2
484,2,2
485,1,1
485,1,2
485,1,3
486,0,2
486,1,2
486,2,2
487,1,1
487,1,2
487,1,3
488,0,2
488,1,2
488,2,2
489,1,1
489,1,2
489,1,3
490,0,2
490,1,2
490,2,2
491,1,1
491,1,2
491,1,3
492,0,2
492,1,2
492,2,2
493,1,1
493,1,2
493,1,3
494,0,2
494,1,2
494,2,2
495,1,1
495,1,2
495,1,3
496,0,2
496,1,2
496,2,2
497,1,1
497,1,2
497,1,3
498,0,2
498,1,2
498,2,2
499,1,1
499,1,2
499,1,3
500,0,2
500,1,2
500,2,2
501,1,1
501,1,2
501,1,3
502,0,2
502,1,2
502,2,2
503,1,1
503,1,2
503,1,3
504,0,2
504,1,2
504,2,2
505,1,1
505,1,2
505,1,3
506,0,2
506,1,2
506,2,2
507,1,1
507,1,2
507,1,3
508,0,2
508,1,2
508,2,2
509,1,1
509,1,2
509,1,3
510,0,2
510,1,2
510,2,2
511,1,1
511,1,2
511,1,3
512,0,2
512,1,2
512,2,2
513,1,1
513,1,2
513,1,3
514,0,2
514,1,2
514,2,2
515,1,1
515,1,2
515,1,3
516,0,2
516,1,2
516,2,2
517,1,1
517,1,2
517,1,3
518,0,2
518,1,2
518,2,2
519,1,1
519,1,2
519,1,3
520,0,2
520,1,2
520,2,2
521,1,1
521,1,2
521,1,3
522,0,2
522,1,2
522,2,2
523,1,1
523,1,2
523,1,3
524,0,2
524,1,2
524,2,2
525,1,1
525,1,2
525,1,3
526,0,2
526,1,2
526,2,2
527,1,1
527,1,2
527,1,3
528,0,2
528,1,2
528,2,2
529,1,1
529,1,2
529,1,3
530,0,2
530,1,2
530,2,2
531,1,1
531,1,2
531,1,3
532,0,2
532,1,2
532,2,2
533,1,1
533,1,2
533,1,3
534,0,2
534,1,2
534,2,2
535,1,1
535,1,2
535,1,3
536,0,2
536,1,2
536,2,2
537,1,1
537,1,2
537,1,3
538,0,2
538,1,2
538,2,2
539,1,1
539,1,2
539,1,3
540,0,2
540,1,2
540,2,2
541,1,1
541,1,2
541,1,3
542,0,2
542,1,2
542,2,2
543,1,1
543,1,2
543,1,3
544,0,2
544,1,2
544,2,2
545,1,1
545,1,2
545,1,3
546,0,2
546,1,2
546,2,2
547,1,1
547,1,2
547,1,3
548,0,2
548,1,2
548,2,2
549,1,1
549,1,2
549,1,3
550,0,2
550,1,2
550,2,2
551,1,1
551,1,2
551,1,3
552,0,2
552,1,2
552,2,2
553,1,1
553,1,2
553,1,3
554,0,2
554,1,2
554,2,2
555,1,1
555,1,2
555,1,3
556,0,2
556,1,2
556,2,2
557,1,1
557,1,2
557,1,3
558,0,2
558,1,2
558,2,2
559,1,1
559,1,2
559,1,3
560,0,2
560,1,2
560,2,2
561,1,1
561,1,2
561,1,3
562,0,2
562,1,2
562,2,2
563,1,1
563,1,2
563,1,3
564,0,2
564,1,2
564,2,2
565,1,1
565,1,2
565,1,3
566,0,2
566,1,2
566,2,2
