step,i,j
1,2,2
1,2,3
1,3,2
1,3,3
2,2,2
2,2,3
2,3,2
2,3,3
3,2,2
3,2,3
3,3,2
3,3,3
4,2,2
4,2,3
4,3,2
4,3,3
5,2,2
5,2,3
5,3,2
5,3,3
6,2,2
6,2,3
6,3,2
6,3,3
7,2,2
7,2,3
7,3,2
7,3,3
8,2,2
8,2,3
8,3,2
8,3,3
9,2,2
9,2,3
9,3,2
9,3,3
10,2,2
10,2,3
10,3,2
10,3,3
11,2,2
11,2,3
11,3,2
11,3,3
12,2,2
12,2,3
12,3,2
12,3,3
13,2,2
13,2,3
13,3,2
13,3,3
14,2,2
14,2,3
14,3,2
14,3,3
15,2,2
15,2,3
15,3,2
15,3,3
16,2,2
16,2,3
16,3,2
16,3,3
17,2,2
17,2,3
17,3,2
17,3,3
18,2,2
18,2,3
18,3,2
18,3,3
19,2,2
19,2,3
19,3,2
19,3,3
20,2,2
20,2,3
20,3,2
20,3,3
21,2,2
21,2,3
21,3,2
21,3,3
22,2,2
22,2,3
22,3,2
22,3,3
23,2,2
23,2,3
23,3,2
23,3,3
24,2,2
24,2,3
24,3,2
24,3,3
25,2,2
25,2,3
25,3,2
25,3,3
26,2,2
26,2,3
26,3,2
26,3,3
27,2,2
27,2,3
27,3,2
27,3,3
28,2,2
28,2,3
28,3,2
28,3,3
29,2,2
29,2,3
29,3,2
29,3,3
30,2,2
30,2,3
30,3,2
30,3,3
31,2,2
31,2,3
31,3,2
31,3,3
32,2,2
32,2,3
32,3,2
32,3,3
33,2,2
33,2,3
33,3,2
33,3,3
34,2,2
34,2,3
34,3,2
34,3,3
35,2,2
35,2,3
35,3,2
35,3,3
36,2,2
36,2,3
36,3,2
36,3,3
37,2,2
37,2,3
37,3,2
37,3,3
38,2,2
38,2,3
38,3,2
38,3,3
39,2,2
39,2,3
39,3,2
39,3,3
40,2,2
40,2,3
40,3,2
40,3,3
41,2,2
41,2,3
41,3,2
41,3,3
42,2,2
42,2,3
42,3,2
42,3,3
43,2,2
43,2,3
43,3,2
43,3,3
44,2,2
44,2,3
44,3,2
44,3,3
45,2,2
45,2,3
45,3,2
45,3,3
46,2,2
46,2,3
46,3,2
46,3,3
47,2,2
47,2,3
47,3,2
47,3,3
48,2,2
48,2,3
48,3,2
48,3,3
49,2,2
49,2,3
49,3,2
49,3,3
50,2,2
50,2,3
50,3,2
50,3,3
51,2,2
51,2,3
51,3,2
51,3,3
52,2,2
52,2,3
52,3,2
52,3,3
53,2,2
53,2,3
53,3,2
53,3,3
54,2,2
54,2,3
54,3,2
54,3,3
55,2,2
55,2,3
55,3,2
55,3,3
56,2,2
56,2,3
56,3,2
56,3,3
57,2,2
57,2,3
57,3,2
57,3,3
58,2,2
58,2,3
58,3,2
58,3,3
59,2,2
59,2,3
59,3,2
59,3,3
60,2,2
60,2,3
60,3,2
60,3,3
61,2,2
61,2,3
61,3,2
61,3,3
62,2,2
62,2,3
62,3,2
62,3,3
63,2,2
63,2,3
63,3,2
63,3,3
64,2,2
64,2,3
64,3,2
64,3,3
65,2,2
