step,i,j
1,1,3
1,1,4
1,1,5
1,1,9
1,1,10
1,1,11
1,3,1
1,3,6
1,3,8
1,3,13
1,4,1
1,4,6
1,4,8
1,4,13
1,5,1
1,5,6
1,5,8
1,5,13
1,6,3
1,6,4
1,6,5
1,6,9
1,6,10
1,6,11
1,8,3
1,8,4
1,8,5
1,8,9
1,8,10
1,8,11
1,9,1
1,9,6
1,9,8
1,9,13
1,10,1
1,10,6
1,10,8
1,10,13
1,11,1
1,11,6
1,11,8
1,11,13
1,13,3
1,13,4
1,13,5
1,13,9
1,13,10
1,13,11
2,0,4
2,0,10
2,1,4
2,1,10
2,2,4
2,2,5
2,2,9
2,2,10
2,4,0
2,4,1
2,4,2
2,4,5
2,4,6
2,4,8
2,4,9
2,4,12
2,4,13
2,4,14
2,5,2
2,5,4
2,5,6
2,5,8
2,5,10
2,5,12
2,6,4
2,6,5
2,6,9
2,6,10
2,8,4
2,8,5
2,8,9
2,8,10
2,9,2
2,9,4
2,9,6
2,9,8
2,9,10
2,9,12
2,10,0
2,10,1
2,10,2
2,10,5
2,10,6
2,10,8
2,10,9
2,10,12
2,10,13
2,10,14
2,12,4
2,12,5
2,12,9
2,12,10
2,13,4
2,13,10
2,14,4
2,14,10
3,1,3
3,1,4
3,1,10
3,1,11
3,2,4
3,2,5
3,2,9
3,2,10
3,3,1
3,3,4
3,3,6
3,3,8
3,3,10
3,3,13
3,4,1
3,4,2
3,4,3
3,4,5
3,4,6
3,4,8
3,4,9
3,4,11
3,4,12
3,4,13
3,5,2
3,5,4
3,5,6
3,5,8
3,5,10
3,5,12
3,6,3
3,6,4
3,6,5
3,6,9
3,6,10
3,6,11
3,8,3
3,8,4
3,8,5
3,8,9
3,8,10
3,8,11
3,9,2
3,9,4
3,9,6
3,9,8
3,9,10
3,9,12
3,10,1
3,10,2
3,10,3
3,10,5
3,10,6
3,10,8
3,10,9
3,10,11
3,10,12
3,10,13
3,11,1
3,11,4
3,11,6
3,11,8
3,11,10
3,11,13
3,12,4
3,12,5
3,12,9
3,12,10
3,13,3
3,13,4
3,13,10
3,13,11
4,1,3
4,1,4
4,1,5
4,1,9
4,1,10
4,1,11
4,3,1
4,3,6
4,3,8
4,3,13
4,4,1
4,4,6
4,4,8
4,4,13
4,5,1
4,5,6
4,5,8
4,5,13
4,6,3
4,6,4
4,6,5
4,6,9
4,6,10
4,6,11
4,8,3
4,8,4
4,8,5
4,8,9
4,8,10
4,8,11
4,9,1
4,9,6
4,9,8
4,9,13
4,10,1
4,10,6
4,10,8
4,10,13
4,11,1
4,11,6
4,11,8
4,11,13
4,13,3
4,13,4
4,13,5
4,13,9
4,13,10
4,13,11
5,0,4
5,0,10
5,1,4
5,1,10
5,2,4
5,2,5
5,2,9
5,2,10
5,4,0
5,4,1
5,4,2
5,4,5
5,4,6
5,4,8
5,4,9
5,4,12
5,4,13
5,4,14
5,5,2
5,5,4
5,5,6
5,5,8
5,5,10
5,5,12
5,6,4
5,6,5
5,6,9
5,6,10
5,8,4
5,8,5
5,8,9
5,8,10
5,9,2
5,9,4
5,9,6
5,9,8
5,9,10
5,9,12
5,10,0
5,10,1
5,10,2
5,10,5
5,10,6
5,10,8
5,10,9
5,10,12
5,10,13
5,10,14
5,12,4
5,12,5
5,12,9
5,12,10
5,13,4
5,13,10
5,14,4
5,14,10
6,1,3
6,1,4
6,1,10
6,1,11
6,2,4
6,2,5
6,2,9
6,2,10
6,3,1
6,3,4
6,3,6
6,3,8
6,3,10
6,3,13
6,4,1
6,4,2
6,4,3
6,4,5
6,4,6
6,4,8
6,4,9
6,4,11
6,4,12
6,4,13
6,5,2
6,5,4
6,5,6
6,5,8
6,5,10
6,5,12
6,6,3
6,6,4
6,6,5
6,6,9
6,6,10
6,6,11
6,8,3
6,8,4
6,8,5
6,8,9
6,8,10
6,8,11
6,9,2
6,9,4
6,9,6
6,9,8
6,9,10
6,9,12
6,10,1
6,10,2
6,10,3
6,10,5
6,10,6
6,10,8
6,10,9
6,10,11
6,10,12
6,10,13
6,11,1
6,11,4
6,11,6
6,11,8
6,11,10
6,11,13
6,12,4
6,12,5
6,12,9
6,12,10
6,13,3
6,13,4
6,13,10
6,13,11
7,1,3
7,1,4
7,1,5
7,1,9
7,1,10
7,1,11
7,3,1
7,3,6
7,3,8
7,3,13
7,4,1
7,4,6
7,4,8
7,4,13
7,5,1
7,5,6
7,5,8
7,5,13
7,6,3
7,6,4
7,6,5
7,6,9
7,6,10
7,6,11
7,8,3
7,8,4
7,8,5
7,8,9
7,8,10
7,8,11
7,9,1
7,9,6
7,9,8
7,9,13
7,10,1
7,10,6
7,10,8
7,10,13
7,11,1
7,11,6
7,11,8
7,11,13
7,13,3
7,13,4
7,13,5
7,13,9
7,13,10
7,13,11
8,0,4
8,0,10
8,1,4
8,1,10
8,2,4
8,2,5
8,2,9
8,2,10
8,4,0
8,4,1
8,4,2
8,4,5
8,4,6
8,4,8
8,4,9
8,4,12
8,4,13
8,4,14
8,5,2
8,5,4
8,5,6
8,5,8
8,5,10
8,5,12
8,6,4
8,6,5
8,6,9
8,6,10
8,8,4
8,8,5
8,8,9
8,8,10
8,9,2
8,9,4
8,9,6
8,9,8
8,9,10
8,9,12
8,10,0
8,10,1
8,10,2
8,10,5
8,10,6
8,10,8
8,10,9
8,10,12
8,10,13
8,10,14
8,12,4
8,12,5
8,12,9
8,12,10
8,13,4
8,13,10
8,14,4
8,14,10
9,1,3
9,1,4
9,1,10
9,1,11
9,2,4
9,2,5
9,2,9
9,2,10
9,3,1
9,3,4
9,3,6
9,3,8
9,3,10
9,3,13
9,4,1
9,4,2
9,4,3
9,4,5
9,4,6
9,4,8
9,4,9
9,4,11
9,4,12
9,4,13
9,5,2
9,5,4
9,5,6
9,5,8
9,5,10
9,5,12
9,6,3
9,6,4
9,6,5
9,6,9
9,6,10
9,6,11
9,8,3
9,8,4
9,8,5
9,8,9
9,8,10
9,8,11
9,9,2
9,9,4
9,9,6
9,9,8
9,9,10
9,9,12
9,10,1
9,10,2
9,10,3
9,10,5
9,10,6
9,10,8
9,10,9
9,10,11
9,10,12
9,10,13
9,11,1
9,11,4
9,11,6
9,11,8
9,11,10
9,11,13
9,12,4
9,12,5
9,12,9
9,12,10
9,13,3
9,13,4
9,13,10
9,13,11
10,1,3
10,1,4
10,1,5
10,1,9
10,1,10
10,1,11
10,3,1
10,3,6
10,3,8
10,3,13
10,4,1
10,4,6
10,4,8
10,4,13
10,5,1
10,5,6
10,5,8
10,5,13
10,6,3
10,6,4
10,6,5
10,6,9
10,6,10
10,6,11
10,8,3
10,8,4
10,8,5
10,8,9
10,8,10
10,8,11
10,9,1
10,9,6
10,9,8
10,9,13
10,10,1
10,10,6
10,10,8
10,10,13
10,11,1
10,11,6
10,11,8
10,11,13
10,13,3
10,13,4
10,13,5
10,13,9
10,13,10
10,13,11
11,0,4
11,0,10
11,1,4
11,1,10
11,2,4
11,2,5
11,2,9
11,2,10
11,4,0
11,4,1
11,4,2
11,4,5
11,4,6
11,4,8
11,4,9
11,4,12
11,4,13
11,4,14
11,5,2
11,5,4
11,5,6
11,5,8
11,5,10
11,5,12
11,6,4
11,6,5
11,6,9
11,6,10
11,8,4
11,8,5
11,8,9
11,8,10
11,9,2
11,9,4
