step,i,j
178,1,2
178,2,2
179,1,1
179,1,2
179,1,3
180,0,2
180,1,2
180,2,2
181,1,1
181,1,2
181,1,3
182,0,2
182,1,2
182,2,2
183,1,1
183,1,2
183,1,3
184,0,2
184,1,2
184,2,2
185,1,1
185,1,2
185,1,3
186,0,2
186,1,2
186,2,2
187,1,1
187,1,2
187,1,3
188,0,2
188,1,2
188,2,2
189,1,1
189,1,2
189,1,3
190,0,2
190,1,2
190,2,2
191,1,1
191,1,2
191,1,3
192,0,2
192,1,2
192,2,2
193,1,1
193,1,2
193,1,3
194,0,2
194,1,2
194,2,2
195,1,1
195,1,2
195,1,3
196,0,2
196,1,2
196,2,2
197,1,1
197,1,2
197,1,3
198,0,2
198,1,2
198,2,2
199,1,1
199,1,2
199,1,3
200,0,2
200,1,2
200,2,2
201,1,1
201,1,2
201,1,3
202,0,2
202,1,2
202,2,2
203,1,1
203,1,2
203,1,3
204,0,2
204,1,2
204,2,2
205,1,1
205,1,2
205,1,3
206,0,2
206,1,2
206,2,2
207,1,1
207,1,2
207,1,3
208,0,2
208,1,2
208,2,2
209,1,1
209,1,2
209,1,3
210,0,2
210,1,2
210,2,2
211,1,1
211,1,2
211,1,3
212,0,2
212,1,2
212,2,2
213,1,1
213,1,2
213,1,3
214,0,2
214,1,2
214,2,2
215,1,1
215,1,2
215,1,3
216,0,2
216,1,2
216,2,2
217,1,1
217,1,2
217,1,3
218,0,2
218,1,2
218,2,2
219,1,1
219,1,2
219,1,3
220,0,2
220,1,2
220,2,2
221,1,1
221,1,2
221,1,3
222,0,2
222,1,2
222,2,2
223,1,1
223,1,2
223,1,3
224,0,2
224,1,2
224,2,2
225,1,1
225,1,2
225,1,3
226,0,2
226,1,2
226,2,2
227,1,1
227,1,2
227,1,3
228,0,2
228,1,2
228,2,2
229,1,1
229,1,2
229,1,3
230,0,2
230,1,2
230,2,2
231,1,1
231,1,2
231,1,3
232,0,2
232,1,2
232,2,2
233,1,1
233,1,2
