step,i,j
1,1,5
1,1,6
1,2,4
1,2,7
1,3,4
1,3,5
1,3,6
1,3,7
1,4,2
1,4,3
1,4,4
1,4,7
1,4,8
1,4,9
1,5,1
1,5,10
1,6,1
1,6,10
1,7,2
1,7,3
1,7,4
1,7,7
1,7,8
1,7,9
1,8,4
1,8,5
1,8,6
1,8,7
1,9,4
1,9,7
1,10,5
1,10,6
2,1,5
2,1,6
2,2,4
2,2,7
2,4,2
2,4,3
2,4,4
2,4,7
2,4,8
2,4,9
2,5,1
2,5,3
2,5,8
2,5,10
2,6,1
2,6,3
2,6,8
2,6,10
2,7,2
2,7,3
2,7,4
2,7,7
2,7,8
2,7,9
2,9,4
2,9,7
2,10,5
2,10,6
3,1,5
3,1,6
3,2,5
3,2,6
3,3,4
3,3,7
3,4,2
3,4,3
3,4,4
3,4,7
3,4,8
3,4,9
3,5,1
3,5,10
3,6,1
3,6,10
3,7,2
3,7,3
3,7,4
3,7,7
3,7,8
3,7,9
3,8,4
3,8,7
3,9,5
3,9,6
3,10,5
3,10,6
4,1,5
4,1,6
4,2,4
4,2,7
4,3,4
4,3,7
4,4,2
4,4,3
4,4,4
4,4,7
4,4,8
4,4,9
4,5,1
4,5,3
4,5,8
4,5,10
4,6,1
4,6,3
4,6,8
4,6,10
4,7,2
4,7,3
4,7,4
4,7,7
4,7,8
4,7,9
4,8,4
4,8,7
4,9,4
4,9,7
4,10,5
4,10,6
5,1,5
5,1,6
5,2,4
5,2,7
5,3,4
5,3,5
5,3,6
5,3,7
5,4,2
5,4,4
5,4,7
5,4,9
5,5,1
5,5,10
5,6,1
5,6,10
5,7,2
5,7,4
5,7,7
5,7,9
5,8,4
5,8,5
5,8,6
5,8,7
5,9,4
5,9,7
5,10,5
5,10,6
6,1,5
6,1,6
6,2,4
6,2,7
6,3,4
6,3,7
6,4,3
6,4,4
6,4,7
6,4,8
6,5,1
6,5,2
6,5,9
6,5,10
6,6,1
6,6,2
6,6,9
6,6,10
6,7,3
6,7,4
6,7,7
6,7,8
6,8,4
6,8,7
6,9,4
6,9,7
6,10,5
6,10,6
7,1,5
7,1,6
7,2,4
7,2,7
7,3,4
7,3,5
7,3,6
7,3,7
7,4,2
7,4,3
7,4,4
